LocalDateTime,UTCSeconds,Value
9/1/2022 13:38:13,9/1/2022 18:38:13,60.91875
9/1/2022 13:38:17,9/1/2022 18:38:17,61.43063
9/1/2022 13:38:21,9/1/2022 18:38:21,61.76375
9/1/2022 13:38:25,9/1/2022 18:38:25,62.18625
9/1/2022 13:38:27,9/1/2022 18:38:27,62.3
9/1/2022 13:38:37,9/1/2022 18:38:37,62.37312
9/1/2022 13:38:41,9/1/2022 18:38:41,61.8775
9/1/2022 13:38:45,9/1/2022 18:38:45,61.60125
9/1/2022 13:38:52,9/1/2022 18:38:52,61.455
9/1/2022 13:38:59,9/1/2022 18:38:59,61.44688
9/1/2022 13:39:03,9/1/2022 18:39:03,61.585
9/1/2022 13:39:12,9/1/2022 18:39:12,61.43063
9/1/2022 13:39:26,9/1/2022 18:39:26,61.52
9/1/2022 13:39:29,9/1/2022 18:39:29,61.63375
9/1/2022 13:39:43,9/1/2022 18:39:43,61.72313
9/1/2022 13:39:46,9/1/2022 18:39:46,61.82063
9/1/2022 13:39:52,9/1/2022 18:39:52,61.69875
9/1/2022 13:40:00,9/1/2022 18:40:00,61.54438
9/1/2022 13:40:06,9/1/2022 18:40:06,61.17062
9/1/2022 13:40:14,9/1/2022 18:40:14,61.08125
9/1/2022 13:40:17,9/1/2022 18:40:17,60.98375
9/1/2022 13:40:22,9/1/2022 18:40:22,60.56125
9/1/2022 13:40:29,9/1/2022 18:40:29,60.14687
9/1/2022 13:40:32,9/1/2022 18:40:32,59.895
9/1/2022 13:40:36,9/1/2022 18:40:36,59.7
9/1/2022 13:40:40,9/1/2022 18:40:40,59.65937
9/1/2022 13:40:44,9/1/2022 18:40:44,59.3425
9/1/2022 13:40:48,9/1/2022 18:40:48,59.35875
9/1/2022 13:41:01,9/1/2022 18:41:01,58.67625
9/1/2022 13:41:05,9/1/2022 18:41:05,58.57875
9/1/2022 13:41:26,9/1/2022 18:41:26,58.60313
9/1/2022 13:41:50,9/1/2022 18:41:50,58.66813
9/1/2022 13:42:01,9/1/2022 18:42:01,58.83062
9/1/2022 13:42:13,9/1/2022 18:42:13,58.80625
9/1/2022 13:42:18,9/1/2022 18:42:18,58.94437
9/1/2022 13:42:36,9/1/2022 18:42:36,58.83875
9/1/2022 13:42:50,9/1/2022 18:42:50,59.59438
9/1/2022 13:42:56,9/1/2022 18:42:56,59.87062
9/1/2022 13:43:00,9/1/2022 18:43:00,60.21188
9/1/2022 13:43:02,9/1/2022 18:43:02,60.35812
9/1/2022 13:43:09,9/1/2022 18:43:09,60.53688
9/1/2022 13:43:13,9/1/2022 18:43:13,60.87
9/1/2022 13:43:22,9/1/2022 18:43:22,61.11375
9/1/2022 13:43:28,9/1/2022 18:43:28,61.4225
9/1/2022 13:43:37,9/1/2022 18:43:37,61.50375
9/1/2022 13:43:45,9/1/2022 18:43:45,61.91813
9/1/2022 13:43:53,9/1/2022 18:43:53,62.24313
9/1/2022 13:44:10,9/1/2022 18:44:10,62.05625
9/1/2022 13:44:14,9/1/2022 18:44:14,61.92625
9/1/2022 13:44:19,9/1/2022 18:44:19,61.99937
9/1/2022 13:44:21,9/1/2022 18:44:21,62.0725
9/1/2022 13:44:33,9/1/2022 18:44:33,62.16188
9/1/2022 13:44:37,9/1/2022 18:44:37,62.31625
9/1/2022 13:44:52,9/1/2022 18:44:52,62.14563
9/1/2022 13:45:02,9/1/2022 18:45:02,61.9425
9/1/2022 13:45:09,9/1/2022 18:45:09,61.88562
9/1/2022 13:45:17,9/1/2022 18:45:17,61.92625
9/1/2022 13:45:21,9/1/2022 18:45:21,61.7475
9/1/2022 13:45:26,9/1/2022 18:45:26,61.31688
9/1/2022 13:45:27,9/1/2022 18:45:27,61.26
